Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

1987
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
50    86   87   83   89  -10 -140 -190 -199 -207 -223 -203 -199
60    72   83   81   98   88   17  -47  -75  -83 -117 -112  -96
70    58   65   44   62   71   63   19  -24  -23  -32  -72  -31
80    37   39   00   27   17   44   11  -25  -39  -18  -78  -34
90    04   29  -43   03  -20   02  -61  -59 -103  -62  -82  -82

1997
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
10   187  198  205  206  175  131   18  -49 -149 -242 -245 -229
12   189  186  192  199  174  144   66   24  -12 -156 -200 -165
15   176  170  186  194  169  164   92   73   78  -20 -101 -132
20   154  152  171  180  170  173  125  117  114   32 -104 -200
25   101  118  133  171  161  174  149  127   93   19  -94 -153
30    22  100  106  151  151  167  141  114   97   75   15  -49
35  -105   25   56  122  137  142  123  115   96  105   92   84
40  -239 -133  -39   95  120  133  126  133  112  122  124  114
45  -235 -225 -155   43   78  133  136  134  114  118  130  118
50  -185 -183 -192  -36   35  118  137  137  122   99  122   68
60   -87  -63 -119  -95  -32   55  119  105  107   55   60   48
70   -59  -05  -87  -54  -76  -24   90   90   95   73   63   33
80   -62   04  -54  -54 -106  -64   51   63   69   64   49  -14
90   -63  -54  -39  -53 -100  -81  -01   23   51   58   27  -34
100  -77 -164  -24  -51  -87 -102  -48  -40   13   15   17   15

1998
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
10  -176 -193 -247 -299 -292  -22   47  147  130  161  228  193
12  -154 -217 -274 -294 -318 -219  -12  109  124  142  209  207
15  -192 -250 -270 -306 -334 -342 -195   30  106  125  204  214
20  -235 -267 -310 -303 -303 -316 -324 -224  -11   92  162  209
25  -215 -238 -263 -289 -294 -307 -307 -317 -259  -90   78  162
30   -50  -57 -127 -253 -280 -297 -308 -321 -311 -292  -68   70
35    89   89   50 -161 -268 -286 -299 -303 -309 -337 -293  -53
40   138  128  106  -34 -226 -262 -278 -290 -314 -325 -327 -226
45   104  115  102   65 -172 -229 -259 -277 -292 -276 -282 -281
50    80  103   82  103  -60 -172 -214 -230 -237 -231 -238 -239
60    28   68   64  117   99  -16  -64  -86 -126 -130 -158 -119
70    20   39   29   96   68   30   08  -12  -35  -30  -87  -71
80   -34   00  -17   52   18  -41  -03   02   04  -16  -35  -38
90   -22   10  -19   34  -55 -104  -82  -17  -16  -44  -29  -96
100  -03   44   10   46  -66 -153 -132  -95  -82 -113 -134 -211

1999
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10  126  128   66  108   08 -194 -201 -221 -230 -259 -254 -255
 12  124  181  107  154   52  -48 -140 -126 -132 -216 -239 -279
 15  137  219  116  162  100   52  -05  -03  -23 -144 -204 -237
 20  153  199  105  172  129  121   70   65   58  -22  -95 -186
 25  130  169   90  153  126  135   92   99   92   77  -04  -54
 30   99  131   98  140  126  137  111  110  101   91   47   61
 35   21   92   99  118  115  131  106  103   83  101   89  113
 40  -69   46   70  104   99  121   83   97   95  119  111  125
 45 -144  -36   28   83   67  101   77   96  100  122  114  120
 50 -237 -167   03   50   52  101   85  100  100  125  110  122
 60 -120 -137  -79  -01   47   71   62   64   70   84   67   95
