# Data origin for merged files:  the parameter names are listed here along with the name of the originating file,
## for the example date 2017-08-08. Look at the associated icartt file header for detailed information about the parameter.
## the MER#0 merged file is obtained by block averaging +/-5 s around each UTC time stamp evenly divisible by 10.
params	data.set
Indicated_Air_Speed	Hskping_DC8_YYYYMMDD_R#.ict
Mach_Number	Hskping_DC8_YYYYMMDD_R#.ict
Vertical_Speed	Hskping_DC8_YYYYMMDD_R#.ict
True_Heading	Hskping_DC8_YYYYMMDD_R#.ict
Track_Angle	Hskping_DC8_YYYYMMDD_R#.ict
Drift_Angle	Hskping_DC8_YYYYMMDD_R#.ict
Pitch_Angle	Hskping_DC8_YYYYMMDD_R#.ict
Roll_Angle	Hskping_DC8_YYYYMMDD_R#.ict
Static_Air_Temp	Hskping_DC8_YYYYMMDD_R#.ict
Potential_Temp	Hskping_DC8_YYYYMMDD_R#.ict
Dew_Point	Hskping_DC8_YYYYMMDD_R#.ict
Total_Air_Temp	Hskping_DC8_YYYYMMDD_R#.ict
IR_Surf_Temp	Hskping_DC8_YYYYMMDD_R#.ict
Static_Pressure	Hskping_DC8_YYYYMMDD_R#.ict
Cabin_Pressure	Hskping_DC8_YYYYMMDD_R#.ict
Wind_Speed	Hskping_DC8_YYYYMMDD_R#.ict
Wind_Direction	Hskping_DC8_YYYYMMDD_R#.ict
Solar_Zenith_Angle	Hskping_DC8_YYYYMMDD_R#.ict
Aircraft_Sun_Elevation	Hskping_DC8_YYYYMMDD_R#.ict
Sun_Azimuth	Hskping_DC8_YYYYMMDD_R#.ict
Aircraft_Sun_Azimuth	Hskping_DC8_YYYYMMDD_R#.ict
Mixing_Ratio	Hskping_DC8_YYYYMMDD_R#.ict
Part_Press_Water_Vapor	Hskping_DC8_YYYYMMDD_R#.ict
Sat_Vapor_Press_H2O	Hskping_DC8_YYYYMMDD_R#.ict
Sat_Vapor_Press_Ice	Hskping_DC8_YYYYMMDD_R#.ict
Relative_Humidity	Hskping_DC8_YYYYMMDD_R#.ict
HCHO	ISAF-H2CO_DC8_YYYYMMDD_R#.ict
LAS_End	LASaerosol_DC8_YYYYMMDD_R#.ict
LAS_N	LASaerosol_DC8_YYYYMMDD_R#.ict
LAS_S	LASaerosol_DC8_YYYYMMDD_R#.ict
LAS_V	LASaerosol_DC8_YYYYMMDD_R#.ict
LAS_Nacc	LASaerosol_DC8_YYYYMMDD_R#.ict
LAS_Sacc	LASaerosol_DC8_YYYYMMDD_R#.ict
LAS_Vacc	LASaerosol_DC8_YYYYMMDD_R#.ict
LAS_Ncoarse	LASaerosol_DC8_YYYYMMDD_R#.ict
LAS_Scoarse	LASaerosol_DC8_YYYYMMDD_R#.ict
LAS_Vcoarse	LASaerosol_DC8_YYYYMMDD_R#.ict
LAM_mass_180to1290nm	SP2-LAM_DC8_YYYYMMDD_R#
LAM_num_180to1290nm	SP2-LAM_DC8_YYYYMMDD_R#
percent_anthrofeox	SP2-LAM_DC8_YYYYMMDD_R#
N_nucl	NAerosol_DC8_YYYYMMDD_R#.ict
S_nucl	NAerosol_DC8_YYYYMMDD_R#.ict
V_nucl	NAerosol_DC8_YYYYMMDD_R#.ict
N_aitken	NAerosol_DC8_YYYYMMDD_R#.ict
S_aitken	NAerosol_DC8_YYYYMMDD_R#.ict
V_aitken	NAerosol_DC8_YYYYMMDD_R#.ict
N_accum	NAerosol_DC8_YYYYMMDD_R#.ict
S_accum	NAerosol_DC8_YYYYMMDD_R#.ict
V_accum	NAerosol_DC8_YYYYMMDD_R#.ict
N_coarse	NAerosol_DC8_YYYYMMDD_R#.ict
S_coarse	NAerosol_DC8_YYYYMMDD_R#.ict
V_coarse	NAerosol_DC8_YYYYMMDD_R#.ict
N_fine	NAerosol_DC8_YYYYMMDD_R#.ict
S_fine	NAerosol_DC8_YYYYMMDD_R#.ict
V_fine	NAerosol_DC8_YYYYMMDD_R#.ict
calc_ext_405	NAerosol_DC8_YYYYMMDD_R#.ict
calc_ext_532	NAerosol_DC8_YYYYMMDD_R#.ict
calc_ext_664	NAerosol_DC8_YYYYMMDD_R#.ict
CAS_Nacc	NCoarseAerosol_DC8_YYYYMMDD_R#.ict
CAS_Ncoa1	NCoarseAerosol_DC8_YYYYMMDD_R#.ict
CAS_Ncoa2	NCoarseAerosol_DC8_YYYYMMDD_R#.ict
CAS_Ncoa3	NCoarseAerosol_DC8_YYYYMMDD_R#.ict
CAS_Ntot	NCoarseAerosol_DC8_YYYYMMDD_R#.ict
CAS_STP_Factor	NCoarseAerosol_DC8_YYYYMMDD_R#.ict
CO2_NOAA	NOAA-Picarro-CO2-CH4-CO_DC8_YYYYMMDD_R#.ict
